kor,eng
시럽,agave
중력분,all
아몬드,almonds
안초비,anchovy
사과,apples
아보카도,avocado
꼬마,baby
등갈비,back
닭고기,backbone
베이킹 파우더,baking
바나나,bananas
바비큐 소스,barbecue
바스마티,basmati
농어,bass
콩,beans
소고기,beef
쇠고기,beef
비트,beets
파프리카,bell
베리,berries
양상추,bibb
리큐르,bitters
후추,black
닭가슴살,boneless
사골,bones
빵,bread
빵가루,breadcrumbs
황설탕,brown
버거 빵,buns
버터,butter
양배추,cabbage
사탕,candied
카다멈,cardamom
샐러리,celery
근대,chard
체다,cheddar
치즈,cheese
체리,cherries
치아씨드,chia
닭고기,chicken
칠리,chile
고춧가루,chili
치포틀레,chipotle
초콜릿,chocolate
초리조,chorizo
청경채,choy
목살,chuck
사과주,cider
시나몬,cinnamon
코코아,cocoa
코코넛,coconut
대구,cod
쿠키,cookies
요리용,cooking
옥수수,corn
옥수수가루,cornmeal
커티지 치즈,cottage
크랜베리,cranberry
크림,cream
리큐르,crème
카레,curry
대추,dates
아르볼 칠리,de
건,dried
오리,duck
달걀,egg
엔다이브,endive
올리브유,extra
추출물,extract
펜넬,fennel
페타 치즈,feta
무화과,figs
필렛,fillets
생선,fish
밀가루,flour
식용,food
과일,fruit
마늘,garlic
젤라틴,gelatin
감자,gold
크래커,graham
통밀,grain
홀그레인,grain
대추 토마토,grape
포도,grape
자몽,grapefruit
그릭 요거트,greekstyle
녹색,green
풋,green
간,ground
햄,ham
머리,head
아티초크,hearts
헤비 크림,heavy
핫 소스,hot
고추장,hot
도정한,husked
아이스크림,ice
이탈리아 소시지,italian
할라피뇨,jalapeño
절임,jar
주스,juice
케일,kale
양고기,lamb
라자냐,lasagna
월계수잎,leaf
허브,leaves
밤,left
레몬,lemon
양상추,lettuce
라임,lime
망고,mango
살코기,meat
우유,milk
양념,mix
버섯,mushrooms
머스터드,mustard
멕시코 칠리,new
견과류,nuts
귀리,oats
식용유,oil
올리브유,olive
올리브,olives
양파,onion
오렌지,orange
기타,other
기타,outer
유산지,paper
파슬리,parsley
파스타,pasta
페스츄리,pastry
복숭아,peaches
배,pears
콩,peas
고추,pepper
통후추,peppercorns
피클,pickled
파이,pie
콩,pinto
피자,pizza
플레인 요거트,plain
방울토마토,plum
자두,plum
돼지고기,pork
감자,potatoes
기타,preferably
기타,quart
라즈베리,raspberry
레드 와인,red
고춧가루,red
홍고추,red
쌀,rice
리코타 치즈,ricotta
껍질을 제거한,rind
뿌리,root
둥근,round
럼,rum
호밀,rye
사프란,saffron
연어,salmon
살사,salsa
소금,salt
식빵,sandwich
소스,sauce
소시지,sausage
가리비,scallops
위스키,scotch
스코치 보닛,scotch
천일염,sea
기타,see
씨,seeds
씨앗,seeds
시드,seeds
세라노 고추,serrano
껍데기,shelled
깍지,shelled
숏,short
슈레드,shredded
얇게 썬,shredded
새우,shrimp
등심,sirloin
껍질,skin
훈제,smoked
소다,soda
양념,spice
으깬,squash
팔각,star
스테이크,steak
줄기,stems
기타,stores
딸기,strawberries
요리용 실,string
길게 자른,strip
설탕,sugar
건토마토,sundried
시럽,syrup
차,tea
안심,tenderloin
태국,thai
두부,tofu
토마토,tomatoes
참치,tuna
칠면조,turkey
바닐라,vanilla
야채,vegetable
채소,vegetable
식초,vinegar
기타,water
통밀,wheat
흰,white
백색,white
하얀,white
화이트,white
와인,wine
이스트,yeast
요거트,yogurt
